id_a,character_a,id_b,character_b,similarity,collision_risk,recommended_fix
godie-nplh,麻倉葉,godie-udea,飛鼠先生,0.2413,acceptable,
godie-o00k,皮卡娘,godie-u01u,索隆,0.2411,acceptable,
b2-nube,鵺野鳴介,community-review-34-20260907,高速婆婆,0.2409,acceptable,
b2-zenitsu,我妻善逸,community-review-17-20260907,安茲·烏爾·恭,0.2409,acceptable,
b2-orphen,歐菲,godie-hpal,藤井八雲,0.2408,acceptable,
community-review-37-20260907,吉伊卡哇,godie-u00l,拳四郎,0.2408,acceptable,
b2-haga,羽賀,godie-e00r,初號機,0.2407,acceptable,
b2-touka,托卡・史考特,godie-h020,莉娜因巴斯,0.2405,acceptable,
community-review-13-20260907,朝田詩乃,godie-h01n,黑崎一護,0.2405,acceptable,
godie-u00j,賽菲洛斯,godie-u01u,索隆,0.2405,acceptable,
b2-luckyman,幸運超人,community-review-12-20260907,衛宮士郎,0.2400,acceptable,
b2-zenitsu,我妻善逸,godie-osam,殺生丸,0.2399,acceptable,
godie-e00r,初號機,godie-ubal,巴恩大魔王,0.2396,acceptable,
godie-hpb1,蒼月潮,godie-orkn,臭作,0.2396,acceptable,
b2-sinbad,辛巴達,godie-emns,夜神月,0.2394,acceptable,
community-review-20-20260907,御坂美琴,godie-hvwd,桔梗,0.2394,acceptable,
community-review-25-20260907,一拳超人,godie-e002,Saber,0.2394,acceptable,
community-review-19-20260907,桐谷和人,godie-udea,飛鼠先生,0.2393,acceptable,
b2-takopi,章魚嗶,godie-ubal,巴恩大魔王,0.2392,acceptable,
b2-zenitsu,我妻善逸,godie-u00l,拳四郎,0.2392,acceptable,
community-review-02-20260907,八神庵,community-review-17-20260907,安茲·烏爾·恭,0.2391,acceptable,
godie-h01n,黑崎一護,godie-huth,魔人普烏,0.2391,acceptable,
b2-bojji,波吉,godie-e00w,櫻綻剎那,0.2389,acceptable,
community-review-08-20260907,米卡莎,godie-hvwd,桔梗,0.2388,acceptable,
b2-popp,何布,community-review-14-20260907,殺老師,0.2387,acceptable,
community-review-30-20260907,尼古貓貓,godie-o00x,悟空,0.2387,acceptable,
community-review-33-20260907,近衛刀太,godie-u00v,基廉列克,0.2383,acceptable,
community-review-08-20260907,米卡莎,godie-h01u,呂布奉先,0.2382,acceptable,
community-review-14-20260907,殺老師,godie-etyr,木乃香,0.2380,acceptable,
b2-elma,艾爾瑪,godie-e00r,初號機,0.2379,acceptable,
b2-kumoko,蜘蛛子,godie-o00k,皮卡娘,0.2377,acceptable,
community-review-13-20260907,朝田詩乃,godie-hapm,Berserker,0.2376,acceptable,
godie-hart,克勞德,godie-hpal,藤井八雲,0.2376,acceptable,
b2-matthias,馬提亞斯,community-review-24-20260907,奇犽,0.2372,acceptable,
godie-hvwd,桔梗,godie-osam,殺生丸,0.2372,acceptable,
godie-h020,莉娜因巴斯,godie-u00n,蒙其.D.魯夫,0.2371,acceptable,
b2-popp,何布,godie-hpb1,蒼月潮,0.2370,acceptable,
b2-kumoko,蜘蛛子,godie-h02k,熊貓,0.2368,acceptable,
b2-uncle,異世界舅舅,godie-hpb1,蒼月潮,0.2367,acceptable,
community-review-23-20260907,坂田銀時,godie-n00p,南野秀一,0.2366,acceptable,
community-review-25-20260907,一拳超人,godie-e00w,櫻綻剎那,0.2364,acceptable,
b2-luckyman,幸運超人,b2-orphen,歐菲,0.2362,acceptable,
godie-e00k,安云,godie-o00x,悟空,0.2361,acceptable,
b2-maple,梅普露,b2-zenitsu,我妻善逸,0.2360,acceptable,
b2-maple,梅普露,godie-hblm,慈悲的王者－賈修貝爾,0.2359,acceptable,
b2-guts,凱茲,godie-u00l,拳四郎,0.2358,acceptable,
godie-hblm,慈悲的王者－賈修貝爾,godie-hvwd,桔梗,0.2356,acceptable,
community-review-03-20260907,不知火舞,godie-hblm,慈悲的王者－賈修貝爾,0.2355,acceptable,
community-review-22-20260907,菜月昴,godie-hart,克勞德,0.2355,acceptable,
godie-edem,宇智波佐助,godie-hpb1,蒼月潮,0.2354,acceptable,
b2-touka,托卡・史考特,godie-e00r,初號機,0.2352,acceptable,
community-review-37-20260907,吉伊卡哇,godie-n00b,哆拉A夢,0.2351,acceptable,
b2-takopi,章魚嗶,godie-udea,飛鼠先生,0.2350,acceptable,
godie-etyr,木乃香,godie-u00h,鬼畜狂刀KYO,0.2347,acceptable,
community-review-08-20260907,米卡莎,godie-n01c,勇者小呆,0.2346,acceptable,
community-review-25-20260907,一拳超人,godie-e00k,安云,0.2346,acceptable,
b2-touka,托卡・史考特,community-review-33-20260907,近衛刀太,0.2345,acceptable,
godie-nplh,麻倉葉,godie-u00v,基廉列克,0.2345,acceptable,
community-review-24-20260907,奇犽,godie-o00k,皮卡娘,0.2344,acceptable,
godie-n01c,勇者小呆,godie-u00l,拳四郎,0.2344,acceptable,
godie-huth,魔人普烏,godie-n003,依文潔琳,0.2342,acceptable,
community-review-27-20260907,庫洛魔法使,godie-h00l,林克,0.2341,acceptable,
b2-orphen,歐菲,godie-u010,飛影,0.2340,acceptable,
b2-kumoko,蜘蛛子,godie-u010,飛影,0.2339,acceptable,
b2-luckyman,幸運超人,community-review-37-20260907,吉伊卡哇,0.2337,acceptable,
community-review-17-20260907,安茲·烏爾·恭,community-review-18-20260907,吉爾伽美什,0.2336,acceptable,
b2-haga,羽賀,godie-u00v,基廉列克,0.2334,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-h02k,熊貓,0.2333,acceptable,
b2-zenitsu,我妻善逸,community-review-04-20260907,空條承太郎,0.2333,acceptable,
b2-guts,凱茲,godie-u01u,索隆,0.2331,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-hpb1,蒼月潮,0.2331,acceptable,
godie-h01u,呂布奉先,godie-n00p,南野秀一,0.2330,acceptable,
b2-orphen,歐菲,b2-touka,托卡・史考特,0.2327,acceptable,
b2-uncle,異世界舅舅,godie-u00h,鬼畜狂刀KYO,0.2325,acceptable,
b2-touka,托卡・史考特,community-review-23-20260907,坂田銀時,0.2324,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-h01n,黑崎一護,0.2324,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-h020,莉娜因巴斯,0.2323,acceptable,
godie-h00l,林克,godie-h01u,呂布奉先,0.2323,acceptable,
godie-e00w,櫻綻剎那,godie-hart,克勞德,0.2322,acceptable,
community-review-27-20260907,庫洛魔法使,godie-zombiex,聖杯黑泥醬－喪標麥可,0.2319,acceptable,
community-review-33-20260907,近衛刀太,godie-e00k,安云,0.2319,acceptable,
godie-u00h,鬼畜狂刀KYO,godie-u00l,拳四郎,0.2317,acceptable,
community-review-01-20260907,武藤遊戲,community-review-17-20260907,安茲·烏爾·恭,0.2315,acceptable,
community-review-01-20260907,武藤遊戲,community-review-04-20260907,空條承太郎,0.2314,acceptable,
community-review-25-20260907,一拳超人,godie-o00k,皮卡娘,0.2314,acceptable,
community-review-33-20260907,近衛刀太,godie-hvwd,桔梗,0.2314,acceptable,
godie-e00w,櫻綻剎那,godie-hblm,慈悲的王者－賈修貝爾,0.2314,acceptable,
godie-o00l,傑洛士,godie-u00h,鬼畜狂刀KYO,0.2312,acceptable,
community-review-19-20260907,桐谷和人,godie-hart,克勞德,0.2311,acceptable,
community-review-24-20260907,奇犽,godie-udea,飛鼠先生,0.2311,acceptable,
community-review-04-20260907,空條承太郎,godie-hpal,藤井八雲,0.2309,acceptable,
godie-h020,莉娜因巴斯,godie-o00k,皮卡娘,0.2308,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,community-review-34-20260907,高速婆婆,0.2307,acceptable,
community-review-03-20260907,不知火舞,godie-u00k,死之王,0.2306,acceptable,
godie-h00l,林克,godie-h01n,黑崎一護,0.2306,acceptable,
b2-popp,何布,godie-h01n,黑崎一護,0.2299,acceptable,
community-review-03-20260907,不知火舞,godie-e008,夏娜,0.2297,acceptable,
godie-hart,克勞德,godie-u00n,蒙其.D.魯夫,0.2297,acceptable,
b2-nube,鵺野鳴介,community-review-24-20260907,奇犽,0.2296,acceptable,
community-review-13-20260907,朝田詩乃,godie-e007,天地志狼,0.2296,acceptable,
community-review-30-20260907,尼古貓貓,godie-e002,Saber,0.2295,acceptable,
b2-haga,羽賀,b2-orphen,歐菲,0.2294,acceptable,
community-review-04-20260907,空條承太郎,community-review-37-20260907,吉伊卡哇,0.2294,acceptable,
community-review-30-20260907,尼古貓貓,godie-hblm,慈悲的王者－賈修貝爾,0.2294,acceptable,
godie-hvsh,Rider,godie-u00l,拳四郎,0.2293,acceptable,
b2-kumoko,蜘蛛子,godie-hblm,慈悲的王者－賈修貝爾,0.2290,acceptable,
community-review-08-20260907,米卡莎,community-review-33-20260907,近衛刀太,0.2290,acceptable,
community-review-13-20260907,朝田詩乃,godie-n01c,勇者小呆,0.2290,acceptable,
b2-goblin,哥布林殺手,godie-u00l,拳四郎,0.2287,acceptable,
b2-sinbad,辛巴達,godie-h01n,黑崎一護,0.2284,acceptable,
godie-edem,宇智波佐助,godie-udea,飛鼠先生,0.2282,acceptable,
b2-haga,羽賀,community-review-14-20260907,殺老師,0.2279,acceptable,
community-review-18-20260907,吉爾伽美什,godie-u00h,鬼畜狂刀KYO,0.2278,acceptable,
community-review-37-20260907,吉伊卡哇,godie-h01n,黑崎一護,0.2278,acceptable,
b2-haga,羽賀,godie-ubal,巴恩大魔王,0.2277,acceptable,
community-review-03-20260907,不知火舞,godie-edem,宇智波佐助,0.2276,acceptable,
godie-o00x,悟空,godie-u00k,死之王,0.2276,acceptable,
b2-haga,羽賀,godie-h01n,黑崎一護,0.2274,acceptable,
community-review-33-20260907,近衛刀太,godie-e00r,初號機,0.2274,acceptable,
community-review-02-20260907,八神庵,community-review-27-20260907,庫洛魔法使,0.2270,acceptable,
b2-touka,托卡・史考特,godie-u01u,索隆,0.2269,acceptable,
godie-hapm,Berserker,godie-u00h,鬼畜狂刀KYO,0.2268,acceptable,
b2-sinbad,辛巴達,community-review-33-20260907,近衛刀太,0.2267,acceptable,
community-review-27-20260907,庫洛魔法使,community-review-30-20260907,尼古貓貓,0.2267,acceptable,
godie-emns,夜神月,godie-zombiex,聖杯黑泥醬－喪標麥可,0.2267,acceptable,
b2-rin,遠坂凜,godie-u00n,蒙其.D.魯夫,0.2265,acceptable,
community-review-34-20260907,高速婆婆,godie-u00n,蒙其.D.魯夫,0.2265,acceptable,
b2-rin,遠坂凜,community-review-33-20260907,近衛刀太,0.2264,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-udea,飛鼠先生,0.2262,acceptable,
godie-hart,克勞德,godie-u00j,賽菲洛斯,0.2261,acceptable,
godie-hpal,藤井八雲,godie-u00l,拳四郎,0.2260,acceptable,
godie-emns,夜神月,godie-u00j,賽菲洛斯,0.2257,acceptable,
b2-rin,遠坂凜,godie-h01n,黑崎一護,0.2256,acceptable,
b2-takopi,章魚嗶,godie-h02k,熊貓,0.2256,acceptable,
community-review-18-20260907,吉爾伽美什,godie-emfr,涅吉,0.2256,acceptable,
godie-h020,莉娜因巴斯,godie-n01c,勇者小呆,0.2252,acceptable,
community-review-23-20260907,坂田銀時,community-review-37-20260907,吉伊卡哇,0.2250,acceptable,
community-review-30-20260907,尼古貓貓,godie-n00p,南野秀一,0.2250,acceptable,
community-review-34-20260907,高速婆婆,godie-u00h,鬼畜狂刀KYO,0.2250,acceptable,
godie-huth,魔人普烏,godie-o02p,初音,0.2250,acceptable,
godie-e002,Saber,godie-etyr,木乃香,0.2248,acceptable,
community-review-14-20260907,殺老師,godie-o00k,皮卡娘,0.2247,acceptable,
godie-hapm,Berserker,godie-ogld,黑人牙膏,0.2246,acceptable,
community-review-05-20260907,洛克人,godie-n01c,勇者小呆,0.2245,acceptable,
community-review-15-20260907,比利海靈頓,godie-u010,飛影,0.2240,acceptable,
community-review-37-20260907,吉伊卡哇,godie-e001,龍宮禮奈,0.2239,acceptable,
b2-sinbad,辛巴達,godie-hart,克勞德,0.2238,acceptable,
community-review-12-20260907,衛宮士郎,godie-h01u,呂布奉先,0.2238,acceptable,
community-review-19-20260907,桐谷和人,godie-ogld,黑人牙膏,0.2237,acceptable,
b2-touka,托卡・史考特,godie-e008,夏娜,0.2236,acceptable,
b2-guts,凱茲,godie-n01c,勇者小呆,0.2233,acceptable,
community-review-14-20260907,殺老師,godie-o00l,傑洛士,0.2233,acceptable,
b2-haga,羽賀,community-review-04-20260907,空條承太郎,0.2232,acceptable,
community-review-33-20260907,近衛刀太,godie-e00w,櫻綻剎那,0.2228,acceptable,
godie-hapm,Berserker,godie-huth,魔人普烏,0.2226,acceptable,
community-review-01-20260907,武藤遊戲,godie-u00v,基廉列克,0.2223,acceptable,
community-review-25-20260907,一拳超人,godie-ubal,巴恩大魔王,0.2223,acceptable,
b2-orphen,歐菲,godie-u00k,死之王,0.2221,acceptable,
b2-sinbad,辛巴達,community-review-14-20260907,殺老師,0.2221,acceptable,
b2-guts,凱茲,b2-zenitsu,我妻善逸,0.2217,acceptable,
b2-goblin,哥布林殺手,b2-touka,托卡・史考特,0.2213,acceptable,
b2-uncle,異世界舅舅,godie-etyr,木乃香,0.2213,acceptable,
b2-nube,鵺野鳴介,godie-u010,飛影,0.2212,acceptable,
godie-ofar,皮卡丘,godie-u00k,死之王,0.2212,acceptable,
community-review-13-20260907,朝田詩乃,godie-u00n,蒙其.D.魯夫,0.2211,acceptable,
b2-popp,何布,godie-u00h,鬼畜狂刀KYO,0.2210,acceptable,
b2-rin,遠坂凜,godie-n01c,勇者小呆,0.2210,acceptable,
community-review-03-20260907,不知火舞,community-review-05-20260907,洛克人,0.2209,acceptable,
godie-h01n,黑崎一護,godie-udea,飛鼠先生,0.2207,acceptable,
b2-popp,何布,godie-nplh,麻倉葉,0.2206,acceptable,
community-review-12-20260907,衛宮士郎,community-review-14-20260907,殺老師,0.2206,acceptable,
godie-u00v,基廉列克,godie-udea,飛鼠先生,0.2205,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-emfr,涅吉,0.2202,acceptable,
b2-rem,蕾姆,godie-hblm,慈悲的王者－賈修貝爾,0.2202,acceptable,
community-review-34-20260907,高速婆婆,godie-h02k,熊貓,0.2202,acceptable,
b2-orphen,歐菲,godie-u00h,鬼畜狂刀KYO,0.2200,acceptable,
b2-luckyman,幸運超人,community-review-14-20260907,殺老師,0.2198,acceptable,
b2-touka,托卡・史考特,godie-hpb1,蒼月潮,0.2196,acceptable,
godie-e007,天地志狼,godie-n00p,南野秀一,0.2196,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-hpb1,蒼月潮,0.2195,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-e007,天地志狼,0.2193,acceptable,
b2-orphen,歐菲,godie-o00x,悟空,0.2193,acceptable,
b2-haga,羽賀,godie-e00w,櫻綻剎那,0.2192,acceptable,
community-review-01-20260907,武藤遊戲,godie-hvsh,Rider,0.2192,acceptable,
b2-sinbad,辛巴達,community-review-34-20260907,高速婆婆,0.2189,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-08-20260907,米卡莎,0.2187,acceptable,
b2-kumoko,蜘蛛子,godie-udea,飛鼠先生,0.2185,acceptable,
b2-rem,蕾姆,godie-o00l,傑洛士,0.2182,acceptable,
b2-zenitsu,我妻善逸,godie-e002,Saber,0.2182,acceptable,
godie-etyr,木乃香,godie-udea,飛鼠先生,0.2181,acceptable,
b2-sinbad,辛巴達,godie-u00v,基廉列克,0.2179,acceptable,
godie-h01n,黑崎一護,godie-n00p,南野秀一,0.2179,acceptable,
community-review-01-20260907,武藤遊戲,godie-emfr,涅吉,0.2177,acceptable,
b2-zenitsu,我妻善逸,godie-n003,依文潔琳,0.2176,acceptable,
community-review-18-20260907,吉爾伽美什,godie-u00n,蒙其.D.魯夫,0.2176,acceptable,
b2-orphen,歐菲,godie-ubal,巴恩大魔王,0.2174,acceptable,
community-review-24-20260907,奇犽,community-review-25-20260907,一拳超人,0.2174,acceptable,
community-review-32-20260907,阿薩謝爾,community-review-34-20260907,高速婆婆,0.2174,acceptable,
b2-luckyman,幸運超人,godie-e007,天地志狼,0.2172,acceptable,
community-review-18-20260907,吉爾伽美什,godie-n00p,南野秀一,0.2172,acceptable,
godie-e00k,安云,godie-hpal,藤井八雲,0.2170,acceptable,
b2-orphen,歐菲,godie-emns,夜神月,0.2169,acceptable,
b2-touka,托卡・史考特,godie-hpal,藤井八雲,0.2167,acceptable,
b2-rem,蕾姆,community-review-33-20260907,近衛刀太,0.2166,acceptable,
community-review-24-20260907,奇犽,godie-u00n,蒙其.D.魯夫,0.2166,acceptable,
b2-nube,鵺野鳴介,b2-touka,托卡・史考特,0.2165,acceptable,
b2-zenitsu,我妻善逸,community-review-23-20260907,坂田銀時,0.2164,acceptable,
community-review-22-20260907,菜月昴,godie-e007,天地志狼,0.2164,acceptable,
godie-u00n,蒙其.D.魯夫,godie-u00v,基廉列克,0.2162,acceptable,
b2-takopi,章魚嗶,community-review-15-20260907,比利海靈頓,0.2161,acceptable,
community-review-22-20260907,菜月昴,godie-n00b,哆拉A夢,0.2160,acceptable,
community-review-23-20260907,坂田銀時,godie-e007,天地志狼,0.2159,acceptable,
b2-popp,何布,godie-e007,天地志狼,0.2157,acceptable,
b2-haga,羽賀,community-review-19-20260907,桐谷和人,0.2154,acceptable,
community-review-30-20260907,尼古貓貓,godie-e00w,櫻綻剎那,0.2154,acceptable,
b2-touka,托卡・史考特,godie-nplh,麻倉葉,0.2152,acceptable,
community-review-19-20260907,桐谷和人,godie-h01n,黑崎一護,0.2152,acceptable,
community-review-37-20260907,吉伊卡哇,godie-n003,依文潔琳,0.2152,acceptable,
community-review-19-20260907,桐谷和人,godie-emfr,涅吉,0.2150,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-33-20260907,近衛刀太,0.2149,acceptable,
community-review-27-20260907,庫洛魔法使,godie-u010,飛影,0.2149,acceptable,
community-review-12-20260907,衛宮士郎,community-review-24-20260907,奇犽,0.2148,acceptable,
godie-e008,夏娜,godie-edem,宇智波佐助,0.2147,acceptable,
b2-boxxo,阿箱＋拉蜜絲,b2-haga,羽賀,0.2146,acceptable,
b2-rem,蕾姆,community-review-14-20260907,殺老師,0.2146,acceptable,
godie-e002,Saber,godie-o00l,傑洛士,0.2145,acceptable,
community-review-01-20260907,武藤遊戲,godie-efur,揍敵客大家長－揍敵客桀諾,0.2141,acceptable,
b2-bojji,波吉,godie-u00v,基廉列克,0.2140,acceptable,
b2-kumoko,蜘蛛子,godie-u00h,鬼畜狂刀KYO,0.2140,acceptable,
godie-o00k,皮卡娘,godie-u00n,蒙其.D.魯夫,0.2140,acceptable,
godie-hpal,藤井八雲,godie-nplh,麻倉葉,0.2138,acceptable,
godie-etyr,木乃香,godie-n003,依文潔琳,0.2136,acceptable,
b2-goblin,哥布林殺手,godie-u01u,索隆,0.2135,acceptable,
community-review-01-20260907,武藤遊戲,community-review-33-20260907,近衛刀太,0.2133,acceptable,
b2-nube,鵺野鳴介,godie-h00l,林克,0.2132,acceptable,
b2-guts,凱茲,godie-u00h,鬼畜狂刀KYO,0.2131,acceptable,
godie-hapm,Berserker,godie-o02p,初音,0.2131,acceptable,
community-review-02-20260907,八神庵,godie-o00x,悟空,0.2130,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-u00l,拳四郎,0.2127,acceptable,
b2-rem,蕾姆,community-review-25-20260907,一拳超人,0.2126,acceptable,
b2-orphen,歐菲,community-review-08-20260907,米卡莎,0.2125,acceptable,
b2-popp,何布,godie-hvwd,桔梗,0.2125,acceptable,
community-review-25-20260907,一拳超人,godie-emfr,涅吉,0.2125,acceptable,
godie-hpb1,蒼月潮,godie-u00n,蒙其.D.魯夫,0.2124,acceptable,
b2-maple,梅普露,godie-e00r,初號機,0.2121,acceptable,
b2-orphen,歐菲,godie-efur,揍敵客大家長－揍敵客桀諾,0.2121,acceptable,
community-review-18-20260907,吉爾伽美什,godie-hapm,Berserker,0.2121,acceptable,
b2-luckyman,幸運超人,b2-uncle,異世界舅舅,0.2117,acceptable,
godie-emns,夜神月,godie-o00x,悟空,0.2114,acceptable,
godie-hart,克勞德,godie-udea,飛鼠先生,0.2114,acceptable,
godie-hpb1,蒼月潮,godie-o00k,皮卡娘,0.2112,acceptable,
community-review-12-20260907,衛宮士郎,godie-nplh,麻倉葉,0.2111,acceptable,
community-review-19-20260907,桐谷和人,community-review-20-20260907,御坂美琴,0.2110,acceptable,
b2-bojji,波吉,community-review-25-20260907,一拳超人,0.2107,acceptable,
b2-matthias,馬提亞斯,godie-h02k,熊貓,0.2107,acceptable,
community-review-18-20260907,吉爾伽美什,godie-hblm,慈悲的王者－賈修貝爾,0.2105,acceptable,
community-review-13-20260907,朝田詩乃,community-review-24-20260907,奇犽,0.2104,acceptable,
godie-h01u,呂布奉先,godie-hpb1,蒼月潮,0.2104,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-u010,飛影,0.2102,acceptable,
community-review-33-20260907,近衛刀太,godie-o00l,傑洛士,0.2101,acceptable,
community-review-34-20260907,高速婆婆,godie-n003,依文潔琳,0.2101,acceptable,
community-review-37-20260907,吉伊卡哇,godie-h01u,呂布奉先,0.2100,acceptable,
b2-orphen,歐菲,community-review-01-20260907,武藤遊戲,0.2099,acceptable,
community-review-13-20260907,朝田詩乃,community-review-18-20260907,吉爾伽美什,0.2098,acceptable,
godie-e00r,初號機,godie-efur,揍敵客大家長－揍敵客桀諾,0.2098,acceptable,
b2-touka,托卡・史考特,community-review-32-20260907,阿薩謝爾,0.2097,acceptable,
community-review-01-20260907,武藤遊戲,godie-u01u,索隆,0.2097,acceptable,
b2-sinbad,辛巴達,godie-hpal,藤井八雲,0.2096,acceptable,
godie-edem,宇智波佐助,godie-u00n,蒙其.D.魯夫,0.2095,acceptable,
community-review-03-20260907,不知火舞,godie-n003,依文潔琳,0.2094,acceptable,
community-review-18-20260907,吉爾伽美什,godie-orkn,臭作,0.2094,acceptable,
b2-uncle,異世界舅舅,b2-zenitsu,我妻善逸,0.2093,acceptable,
community-review-12-20260907,衛宮士郎,godie-u01u,索隆,0.2093,acceptable,
b2-maple,梅普露,b2-sinbad,辛巴達,0.2092,acceptable,
godie-u00k,死之王,godie-u00l,拳四郎,0.2092,acceptable,
community-review-14-20260907,殺老師,godie-hpal,藤井八雲,0.2089,acceptable,
community-review-01-20260907,武藤遊戲,godie-h01u,呂布奉先,0.2088,acceptable,
community-review-19-20260907,桐谷和人,godie-e00w,櫻綻剎那,0.2088,acceptable,
b2-kumoko,蜘蛛子,godie-u00v,基廉列克,0.2087,acceptable,
community-review-34-20260907,高速婆婆,godie-u00l,拳四郎,0.2087,acceptable,
godie-etyr,木乃香,godie-hblm,慈悲的王者－賈修貝爾,0.2085,acceptable,
b2-luckyman,幸運超人,godie-osam,殺生丸,0.2084,acceptable,
community-review-19-20260907,桐谷和人,godie-u00l,拳四郎,0.2084,acceptable,
community-review-22-20260907,菜月昴,godie-hblm,慈悲的王者－賈修貝爾,0.2081,acceptable,
b2-haga,羽賀,godie-hblm,慈悲的王者－賈修貝爾,0.2080,acceptable,
community-review-22-20260907,菜月昴,godie-emfr,涅吉,0.2078,acceptable,
b2-maple,梅普露,community-review-14-20260907,殺老師,0.2077,acceptable,
godie-etyr,木乃香,godie-o00k,皮卡娘,0.2077,acceptable,
godie-hblm,慈悲的王者－賈修貝爾,godie-n003,依文潔琳,0.2077,acceptable,
godie-hvwd,桔梗,godie-nplh,麻倉葉,0.2077,acceptable,
community-review-18-20260907,吉爾伽美什,godie-e00w,櫻綻剎那,0.2075,acceptable,
community-review-22-20260907,菜月昴,godie-osam,殺生丸,0.2075,acceptable,
community-review-23-20260907,坂田銀時,godie-hvsh,Rider,0.2075,acceptable,
godie-hapm,Berserker,godie-hpal,藤井八雲,0.2075,acceptable,
community-review-20-20260907,御坂美琴,community-review-24-20260907,奇犽,0.2074,acceptable,
b2-goblin,哥布林殺手,community-review-22-20260907,菜月昴,0.2073,acceptable,
b2-kumoko,蜘蛛子,b2-uncle,異世界舅舅,0.2073,acceptable,
community-review-19-20260907,桐谷和人,godie-hvwd,桔梗,0.2073,acceptable,
community-review-15-20260907,比利海靈頓,godie-o00k,皮卡娘,0.2071,acceptable,
community-review-25-20260907,一拳超人,godie-u00j,賽菲洛斯,0.2069,acceptable,
b2-guts,凱茲,godie-u010,飛影,0.2068,acceptable,
b2-popp,何布,godie-udea,飛鼠先生,0.2068,acceptable,
community-review-02-20260907,八神庵,community-review-23-20260907,坂田銀時,0.2068,acceptable,
community-review-24-20260907,奇犽,godie-hpb1,蒼月潮,0.2068,acceptable,
b2-elma,艾爾瑪,b2-takopi,章魚嗶,0.2066,acceptable,
b2-zenitsu,我妻善逸,godie-u00n,蒙其.D.魯夫,0.2066,acceptable,
community-review-04-20260907,空條承太郎,community-review-08-20260907,米卡莎,0.2066,acceptable,
community-review-05-20260907,洛克人,godie-ofar,皮卡丘,0.2066,acceptable,
community-review-22-20260907,菜月昴,community-review-24-20260907,奇犽,0.2065,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-h00l,林克,0.2063,acceptable,
godie-h02k,熊貓,godie-u00v,基廉列克,0.2063,acceptable,
godie-h02r,妙蛙花,godie-hblm,慈悲的王者－賈修貝爾,0.2062,acceptable,
godie-o00k,皮卡娘,godie-u00h,鬼畜狂刀KYO,0.2061,acceptable,
b2-kumoko,蜘蛛子,godie-e002,Saber,0.2060,acceptable,
b2-matthias,馬提亞斯,community-review-30-20260907,尼古貓貓,0.2060,acceptable,
b2-rem,蕾姆,b2-sinbad,辛巴達,0.2057,acceptable,
godie-emfr,涅吉,godie-u00h,鬼畜狂刀KYO,0.2057,acceptable,
godie-u00v,基廉列克,godie-ubal,巴恩大魔王,0.2057,acceptable,
b2-goblin,哥布林殺手,community-review-02-20260907,八神庵,0.2056,acceptable,
godie-hart,克勞德,godie-o00l,傑洛士,0.2056,acceptable,
godie-hpal,藤井八雲,godie-hvwd,桔梗,0.2055,acceptable,
community-review-14-20260907,殺老師,godie-o00x,悟空,0.2053,acceptable,
community-review-14-20260907,殺老師,godie-u00l,拳四郎,0.2053,acceptable,
community-review-24-20260907,奇犽,godie-hblm,慈悲的王者－賈修貝爾,0.2053,acceptable,
b2-sinbad,辛巴達,godie-emfr,涅吉,0.2052,acceptable,
community-review-14-20260907,殺老師,godie-nplh,麻倉葉,0.2050,acceptable,
community-review-18-20260907,吉爾伽美什,godie-u010,飛影,0.2049,acceptable,
b2-zenitsu,我妻善逸,godie-emfr,涅吉,0.2047,acceptable,
community-review-22-20260907,菜月昴,community-review-33-20260907,近衛刀太,0.2047,acceptable,
b2-zenitsu,我妻善逸,godie-hvsh,Rider,0.2046,acceptable,
godie-n00p,南野秀一,godie-u00n,蒙其.D.魯夫,0.2046,acceptable,
b2-nube,鵺野鳴介,godie-u00h,鬼畜狂刀KYO,0.2043,acceptable,
b2-takopi,章魚嗶,godie-osam,殺生丸,0.2042,acceptable,
community-review-14-20260907,殺老師,community-review-22-20260907,菜月昴,0.2041,acceptable,
community-review-24-20260907,奇犽,godie-h02k,熊貓,0.2041,acceptable,
godie-hart,克勞德,godie-hvwd,桔梗,0.2041,acceptable,
b2-orphen,歐菲,b2-sinbad,辛巴達,0.2040,acceptable,
community-review-14-20260907,殺老師,godie-e00k,安云,0.2040,acceptable,
godie-emfr,涅吉,godie-hvwd,桔梗,0.2040,acceptable,
godie-u00h,鬼畜狂刀KYO,godie-ubal,巴恩大魔王,0.2040,acceptable,
godie-hpb1,蒼月潮,godie-o00l,傑洛士,0.2039,acceptable,
b2-guts,凱茲,community-review-15-20260907,比利海靈頓,0.2038,acceptable,
