ID,角色,作品來源,本體模型,基礎模型存在,模型檔數,OBJ數,動作片段,音效語音段數
311,琪露诺,東方 Project,../DATA/CHARACTER/ROLEACTION/311.x,True,4,4,89,131
312,石神千空,Dr.STONE 新石紀,../DATA/CHARACTER/ROLEACTION/312.x,True,3,3,65,79
313,苍星石,薔薇少女 Rozen Maiden,../DATA/CHARACTER/ROLEACTION/313.x,True,2,2,44,53
314,芙蕾雅,300英雄原創,../DATA/CHARACTER/ROLEACTION/314.x,True,5,5,81,114
315,亚连·沃克,D.Gray-man 驅魔少年,../DATA/CHARACTER/ROLEACTION/315.x,True,6,6,128,119
316,东风谷早苗,東方 Project,../DATA/CHARACTER/ROLEACTION/316.x,True,3,3,60,135
317,吕树,大王饒命,../DATA/CHARACTER/ROLEACTION/317.x,True,2,2,94,163
318,吕小鱼,大王饒命,../DATA/CHARACTER/ROLEACTION/318.x,True,4,4,38,207
319,坂本,在下坂本，有何貴幹？,../DATA/CHARACTER/ROLEACTION/319.x,True,3,3,54,141
320,阿希娅,300英雄原創,../DATA/CHARACTER/ROLEACTION/320.x,True,3,3,64,119
321,比那名居天子,東方 Project,../DATA/CHARACTER/ROLEACTION/321.x,True,2,2,53,96
322,蓝染惣右介,BLEACH 死神,../DATA/CHARACTER/ROLEACTION/322.x,True,4,4,71,215
323,奴良陆生,妖怪少爺／滑頭鬼之孫,../DATA/CHARACTER/ROLEACTION/323.x,True,4,4,54,219
327,刑天,鎧甲勇士刑天,../DATA/CHARACTER/ROLEACTION/327.x,True,4,4,104,267
328,法尼·瓦伦泰,JoJo 的奇妙冒險 第七部：飆馬野郎 STEEL BALL RUN,../DATA/CHARACTER/ROLEACTION/328.x,True,4,4,68,350
329,故障缇米,300英雄原創,../DATA/CHARACTER/ROLEACTION/329.x,True,1,1,29,71
332,我妻善逸,鬼滅之刃,../DATA/CHARACTER/ROLEACTION/332.x,True,1,1,26,101
333,芙莉莲,葬送的芙莉蓮,../DATA/CHARACTER/ROLEACTION/333.x,True,3,2,41,117
334,闰土,火影忍者 NARUTO,../DATA/CHARACTER/ROLEACTION/334.x,False,1,0,28,66
335,梅林,Fate/Grand Order,../DATA/CHARACTER/ROLEACTION/335.x,True,4,4,35,95
336,艾莉丝,無職轉生～到了異世界就拿出真本事～,../DATA/CHARACTER/ROLEACTION/336.x,True,4,1,94,104
390,坦克,Dr.STONE 新石紀,../Data\Magic\Skill\312_shishenqiankong\s09\trace\tx_312_s09_3_01.x,True,0,0,0,0
391,枯萎穿心,JoJo 的奇妙冒險 第四部：不滅鑽石,../Data\Magic\Skill\285_jiliangjiying\s05_E\trace\tx_285_s05_3_01.x,True,0,0,0,0
392,出租车,在下坂本，有何貴幹？,../Data\Magic\Skill\319_banben\s06_r\trace\tx_319_s06_3_01.x,True,0,0,0,0
